file name,proportion_weight,filing_time,cik
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2022_0001628280-22-012510.json,0.0007787976652597234,2022-05-05,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2022_0001628280-22-020518.json,0.0009335766016668741,2022-08-03,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2022_0001628280-22-027548.json,0.0009127469831513545,2022-11-01,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2023_0001628280-23-015755.json,0.0008352455992550789,2023-05-04,1012100
E:/ALLEXTRACTED_FILINGS\1012100_10Q_2023_0001628280-23-028223.json,0.0007162613150299721,2023-08-08,1012100
E:/ALLEXTRACTED_FILINGS\1013237_10Q_2021_0001013237-22-000005.json,0.0004668672075918839,2022-01-03,1013237
E:/ALLEXTRACTED_FILINGS\1013237_10Q_2022_0001013237-22-000058.json,0.0006450512615466975,2022-04-04,1013237
E:/ALLEXTRACTED_FILINGS\1013237_10Q_2022_0001013237-22-000096.json,0.0006155550507744997,2022-07-01,1013237
E:/ALLEXTRACTED_FILINGS\1013237_10Q_2022_0001013237-23-000006.json,0.0004676902155720736,2023-01-05,1013237
E:/ALLEXTRACTED_FILINGS\1013237_10Q_2023_0001013237-23-000044.json,0.00041816418783988465,2023-04-03,1013237
E:/ALLEXTRACTED_FILINGS\1013237_10Q_2023_0001013237-23-000070.json,0.00039088706222763724,2023-07-03,1013237
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2019_0001013462-19-000008.json,0.0004791852042639043,2019/5/2,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2019_0001013462-19-000013.json,0.000595109718755168,2019-11-07,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2020_0001013462-20-000015.json,0.0010156920235067754,2020-05-06,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2020_0001013462-20-000028.json,0.0008066311495741387,2020-08-05,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2020_0001013462-20-000040.json,0.0005735786015553523,2020-11-04,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2021_0001013462-21-000017.json,0.0007119122124361698,2021-05-05,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2021_0001013462-21-000039.json,0.0006185743808858907,2021-08-04,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2021_0001013462-21-000048.json,0.0008151198418957042,2021-11-03,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2022_0001013462-22-000012.json,0.0008100566915447594,2022-05-04,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2022_0001013462-22-000026.json,0.0006977905912051275,2022-08-03,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2022_0001013462-22-000031.json,0.0009670974192088917,2022-11-02,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2023_0001013462-23-000028.json,0.0007418324782996821,2023-05-03,1013462
E:/ALLEXTRACTED_FILINGS\1013462_10Q_2023_0001013462-23-000046.json,0.0007552523842990994,2023-08-02,1013462
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2019_0001013871-19-000017.json,0.0013647958889754519,2019/5/2,1013871
