file name,number of words
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_27904_0000027904-19-000003_1.txt,1289672
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_29905_0000029905-19-000019_1.txt,1446516
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_315213_0001628280-19-001488_1.txt,621724
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_48898_0001628280-19-001446_1.txt,1305242
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_49196_0000049196-19-000018_1.txt,3074824
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_49826_0000049826-19-000021_1.txt,1205582
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_5272_0000005272-19-000023_1.txt,7268510
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_68505_0000068505-19-000006_1.txt,1588898
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_732712_0000732712-19-000012_1.txt,1942215
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_753308_0000753308-19-000039_1.txt,2475280
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_766421_0000766421-19-000008_1.txt,1240724
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_77476_0000077476-19-000017_1.txt,1943980
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_831259_0000831259-19-000009_1.txt,3687481
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_874716_0000874716-19-000004_1.txt,1467452
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_877890_0000877890-19-000035_1.txt,1210711
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_879101_0001437749-19-002746_1.txt,3674861
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_899051_0000899051-19-000007_1.txt,4329512
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_906345_0000906345-19-000006_1.txt,1477666
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190215_10-K_edgar_data_91142_0001193125-19-042339_1.txt,1758978
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1012100_0001628280-19-001538_1.txt,2148267
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1031296_0001031296-19-000010_1.txt,2416292
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1058290_0001058290-19-000009_1.txt,1481072
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1071739_0001071739-19-000032_1.txt,1138366
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1158449_0001158449-19-000043_1.txt,1247864
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1163165_0001193125-19-043841_1.txt,2273327
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1179929_0001179929-19-000032_1.txt,3304156
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1318605_0001564590-19-003165_1.txt,2898281
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1336920_0001336920-19-000004_1.txt,1192923
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1410636_0001410636-19-000041_1.txt,1724893
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1442145_0001442145-19-000012_1.txt,1503766
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1478242_0001564590-19-003180_1.txt,2870649
