,0
1076,0001396009
1077,0001097149
1078,0001097149
1079,0001097149
1080,0001097149
1081,0001097149
1082,0000047111
1083,0000047111
1084,0000047111
1085,0000047111
1086,0000047111
1087,0001370637
1088,0001370637
1089,0001370637
1090,0001370637
1091,0000732717
1092,0000732717
1093,0000732717
1094,0000732717
1095,0000732717
1096,0000047217
1097,0000047217
1098,0000047217
1099,0000047217
1100,0000047217
1101,0000849399
1102,0000849399
1103,0001341439
1104,0001341439
1105,0001341439
1106,0001341439
1107,0001341439
1108,0001138118
1109,0001138118
1110,0001138118
1111,0001138118
1112,0001138118
1113,0001091667
1114,0001091667
1115,0001091667
1116,0001091667
1117,0001091667
1118,0001326160
1119,0001326160
1120,0001326160
1121,0001326160
1122,0001326160
1123,0000024545
1124,0000024545
1125,0000024545
1126,0000024545
1127,0000024545
1128,0000073309
1129,0000073309
1130,0000073309
1131,0000073309
1132,0000073309
1133,0001048695
1134,0001048695
1135,0001048695
1136,0001048695
1137,0001048695
1138,0000927653
1139,0000927653
1140,0000927653
1141,0000927653
1142,0000927653
1143,0001090872
1144,0001090872
1145,0001090872
1146,0001090872
1147,0001090872
1148,0000005272
1149,0000005272
1150,0000005272
1151,0000005272
1152,0000005272
1153,0001065088
1154,0001065088
1155,0001065088
1156,0001065088
1157,0001065088
1158,0001286681
1159,0001286681
1160,0001286681
1161,0001286681
1162,0000106535
1163,0000106535
1164,0000106535
1165,0000106535
1166,0000106535
1167,0000037996
1168,0000037996
1169,0000037996
1170,0000037996
1171,0000037996
1172,0000073124
1173,0000073124
1174,0000073124
1175,0000073124
1176,0000073124
1177,0000726728
1178,0000726728
1179,0000726728
1180,0000726728
1181,0000726728
1182,0001281761
1183,0001281761
1184,0001281761
1185,0001281761
1186,0001281761
1187,0000759944
1188,0000759944
1189,0000759944
1190,0000759944
1191,0000759944
1192,0001757898
1193,0001757898
1194,0001757898
1195,0001757898
1196,0001757898
1197,0001002910
1198,0001002910
1199,0001002910
1200,0001002910
1201,0001002910
1202,0001633917
1203,0001633917
1204,0001633917
1205,0001633917
1206,0001633917
1207,0000940944
1208,0000940944
1209,0000940944
1210,0000940944
1211,0000940944
1212,0001013871
1213,0001013871
1214,0001013871
1215,0001013871
1216,0001013871
1217,0001058090
1218,0001058090
1219,0001058090
1220,0001058090
1221,0001058090
1222,0000051143
1223,0000051143
1224,0000051143
1225,0000051143
1226,0000051143
1227,0000105770
1228,0000105770
1229,0000105770
1230,0000105770
1231,0000008670
1232,0000008670
1233,0000008670
1234,0000008670
1235,0000008670
1236,0000788784
1237,0000788784
1238,0000788784
1239,0000788784
1240,0000788784
1241,0000063754
1242,0000063754
1243,0000063754
1244,0000063754
1245,0000063754
1246,0000026172
1247,0000026172
1248,0000026172
1249,0000026172
1250,0000026172
1251,0000002488
1252,0000002488
1253,0000002488
1254,0000002488
1255,0000002488
1256,0000908255
1257,0000908255
1258,0000908255
1259,0000908255
1260,0000908255
1261,0000851968
1262,0000851968
1263,0000851968
1264,0000851968
1265,0000851968
1266,0001418135
1267,0001418135
1268,0000048465
1269,0000048465
1270,0000048465
1271,0000048465
1272,0000048465
1273,0000080424
1274,0000080424
1275,0000080424
1276,0000080424
1277,0000080424
1278,0000879169
1279,0000879169
1280,0000879169
1281,0000879169
1282,0000879169
1283,0001037540
1284,0001037540
1285,0001037540
1286,0001037540
1287,0001037540
1288,0000034088
1289,0000034088
1290,0000034088
1291,0000034088
1292,0000034088
1293,0000036104
1294,0000036104
1295,0000036104
1296,0000036104
1297,0000036104
1298,0000103379
1299,0000103379
1300,0000103379
1301,0000103379
1302,0000103379
1303,0000092122
1304,0000092122
1305,0000092122
1306,0000092122
1307,0000092122
1308,0001170010
1309,0001170010
1310,0001170010
1311,0001170010
1312,0001170010
1313,0000921738
1314,0000707549
1315,0000707549
1316,0000707549
1317,0000707549
1318,0000707549
1319,0000313927
1320,0000313927
1321,0000313927
1322,0000313927
1323,0000313927
1324,0001754301
1325,0001754301
1326,0001754301
1327,0001754301
1328,0001754301
1329,0000936340
1330,0000936340
1331,0000936340
1332,0000936340
