cik,filing_date,avg_excess_return
1093557,2020-02-13,0.03404721243978968
77476,2020-02-13,3.4539209527453645e-05
77476,2019-02-15,0.0018402324048015198
77476,2023-02-09,0.008752890300456652
77476,2021-02-11,-0.005393981237985581
77476,2022-02-10,-0.009781905268453243
883241,2021-12-13,0.0037602788183249683
883241,2022-12-12,0.0044650786597573615
883241,2020-12-15,0.011432337615657968
883241,2023-12-12,-0.004102695405267683
883241,2019-12-20,-0.00315123264404615
1045609,2023-02-14,-0.0026546510170639037
1045609,2022-02-09,-0.003443970379005974
1045609,2020-02-11,0.006224115078034111
1045609,2019-02-13,0.0016761148525726807
1045609,2021-02-11,-0.00574084977041524
1652044,2022-02-02,-0.0037691684054904835
1652044,2019-02-05,-0.002521449201505265
1652044,2020-02-04,-0.0026356503529837393
1652044,2021-02-03,-0.0002156232673291847
