,0
749,20230725
750,20200728
751,20210301
752,20190822
753,20230224
754,20220225
755,20230213
756,20220216
757,20190219
758,20210218
759,20200210
760,20200323
761,20210319
762,20230317
763,20190328
764,20220318
765,20210224
766,20230223
767,20190214
768,20220224
769,20200213
770,20210208
771,20230131
772,20200213
773,20220207
774,20200401
775,20210331
776,20190329
777,20230221
778,20210222
779,20220228
780,20200220
781,20190221
782,20190308
783,20220311
784,20230308
785,20200305
786,20220225
787,20230216
788,20220217
789,20200220
790,20190221
791,20210218
792,20210226
793,20220218
794,20190215
795,20230217
796,20200214
797,20221005
798,20201007
799,20211006
800,20191011
801,20231011
802,20231027
803,20211022
804,20221021
805,20200220
806,20190221
807,20220217
808,20210218
809,20230216
810,20220223
811,20190221
812,20210211
813,20200317
814,20230209
815,20210225
816,20200221
817,20231026
818,20190221
819,20220223
820,20220202
821,20190205
822,20200204
823,20210203
824,20230203
825,20190220
826,20220215
827,20200220
828,20230221
829,20210217
830,20220224
831,20230223
832,20190226
833,20200227
834,20210225
835,20230215
836,20220222
837,20190227
838,20210219
839,20200226
840,20220223
841,20200220
842,20190313
843,20230223
844,20210222
845,20220215
846,20210222
847,20230207
848,20190214
849,20200213
850,20230202
851,20200206
852,20190207
853,20220203
854,20210204
855,20230804
856,20210806
857,20190802
858,20200826
859,20220805
860,20200207
861,20190222
862,20230203
863,20210205
864,20220204
865,20190215
866,20230210
867,20210212
868,20200214
869,20220214
870,20230228
871,20220228
872,20220127
873,20190128
874,20210126
875,20200128
876,20230127
877,20200226
878,20210225
879,20230223
880,20190227
881,20220224
882,20200219
883,20190222
884,20230217
885,20210219
886,20220222
887,20210219
888,20220222
889,20230206
890,20190131
891,20210202
892,20220207
893,20200130
894,20210729
895,20220728
896,20190801
897,20200918
898,20230727
899,20190313
900,20230308
901,20200311
902,20220309
903,20210310
904,20220218
905,20230216
906,20200221
907,20210222
908,20190215
909,20230202
910,20220203
911,20210223
912,20230223
913,20190219
914,20200225
915,20220223
916,20200206
917,20190206
918,20230207
919,20210208
920,20220207
921,20190215
922,20220211
923,20210226
924,20200212
925,20220216
926,20230215
927,20220222
928,20190226
929,20200221
930,20230223
931,20210218
932,20210830
933,20200831
934,20220829
935,20231208
936,20230213
937,20220214
938,20200221
939,20220218
940,20230217
941,20210219
942,20190227
943,20230224
944,20220223
945,20190225
946,20200221
947,20210223
948,20220204
949,20210205
950,20230203
951,20200226
952,20190222
953,20210223
954,20230224
955,20220224
956,20220812
957,20190808
958,20230811
959,20200813
960,20210817
961,20210208
962,20230210
963,20220218
964,20200207
965,20190208
966,20220224
967,20230224
968,20190226
969,20220228
970,20200303
971,20210222
972,20230227
973,20230227
974,20190227
975,20210301
976,20200302
977,20220228
978,20231222
979,20201210
980,20221208
981,20191213
982,20211210
983,20230216
984,20220225
985,20220224
986,20230223
987,20200220
988,20210225
989,20190221
990,20190222
991,20210219
992,20200221
993,20230223
994,20220218
995,20200520
996,20210524
997,20190517
998,20230519
999,20220520
1000,20231121
1001,20200221
1002,20220218
1003,20190222
1004,20230217
1005,20210219
1006,20210225
1007,20230223
1008,20190221
1009,20200220
1010,20220224
1011,20211116
1012,20231109
1013,20191119
1014,20201112
1015,20221110
1016,20200129
1017,20190129
1018,20230126
1019,20220127
1020,20210128
1021,20230227
1022,20210301
1023,20200507
1024,20220228
1025,20210216
1026,20200225
1027,20220222
1028,20190219
1029,20230221
1030,20220222
1031,20190225
1032,20230222
1033,20210222
1034,20200226
1035,20191029
1036,20211015
1037,20231012
1038,20201022
1039,20221012
1040,20190222
