File Name,File Type,Date,Number of Sentences,Sentiment Index
bowman20220623a,FOMC_Speech,20220623,30,0.7666666666666667
powell20230629a,FOMC_Speech,20230629,18,0.5555555555555556
yellen20171004a,FOMC_Speech,20171004,1,0
cook20240325a,FOMC_Speech,20240325,99,0.20202020202020202
brainard20150402a,FOMC_Speech,20150402,23,-0.304347826
clarida20201116a,FOMC_Speech,20201116,75,-0.093333333
jefferson20240520a,FOMC_Speech,20240520,49,0.20408163265306123
bowman20211129a,FOMC_Speech,20211129,1,0
quarles20200211a,FOMC_Speech,20200211,1,0
bowman20190904a,FOMC_Speech,20190904,16,-0.0625
bowman20230418a,FOMC_Speech,20230418,4,0
fischer20150323a,FOMC_Speech,20150323,64,-0.171875
powell20171018a,FOMC_Speech,20171018,2,0
powell20131104a,FOMC_Speech,20131104,70,-0.157142857
powell20170222a,FOMC_Speech,20170222,106,-0.066037736
fischer20151119a,FOMC_Speech,20151119,79,-0.075949367
quarles20190410a,FOMC_Speech,20190410,3,0
yellen20140325a,FOMC_Speech,20140325,0,0
brainard20190223a,FOMC_Speech,20190223,2,0
bowman20220930a,FOMC_Speech,20220930,4,0.25
waller20221014a,FOMC_Speech,20221014,7,0
jefferson20240222a,FOMC_Speech,20240222,69,-0.115942029
kugler20240207a,FOMC_Speech,20240207,72,-0.013888889
powell20190308a,FOMC_Speech,20190308,54,-0.074074074
bowman20230822a,FOMC_Speech,20230822,9,-0.111111111
brainard20151012a,FOMC_Speech,20151012,79,-0.316455696
raskin20130228a,FOMC_Speech,20130228,3,-0.333333333
powell20130304a,FOMC_Speech,20130304,3,0
clarida20190110a,FOMC_Speech,20190110,58,0.086206897
powell20240403a,FOMC_Speech,20240403,26,0.23076923076923078
quarles20190328a,FOMC_Speech,20190328,7,0
tarullo20140409a,FOMC_Speech,20140409,58,-0.120689655
brainard20210224a,FOMC_Speech,20210224,110,-0.136363636
stein20121217a,FOMC_Speech,20121217,4,0
waller20240116a,FOMC_Speech,20240116,64,0.03125
waller20211119a,FOMC_Speech,20211119,44,0.4318181818181818
bowman20201001a,FOMC_Speech,20201001,2,0
clarida20210414a,FOMC_Speech,20210414,80,-0.075
brainard20191218a,FOMC_Speech,20191218,10,-0.2
tarullo20140327a,FOMC_Speech,20140327,3,0
jefferson20230531a,FOMC_Speech,20230531,13,0.076923077
clarida20190517a,FOMC_Speech,20190517,13,0
jefferson20231009a,FOMC_Speech,20231009,45,0.17777777777777778
powell20161130a,FOMC_Speech,20161130,43,-0.11627907
bowman20230926a,FOMC_Speech,20230926,5,0.6
brainard20181003a,FOMC_Speech,20181003,8,0
yellen20130416a,FOMC_Speech,20130416,24,-0.166666667
brainard20190307a,FOMC_Speech,20190307,63,-0.222222222
powell20210817a,FOMC_Speech,20210817,0,0
bowman20240215a,FOMC_Speech,20240215,2,0
waller20210513a,FOMC_Speech,20210513,45,0.2
bowman20240307a,FOMC_Speech,20240307,24,0.5833333333333334
yellen20141017a,FOMC_Speech,20141017,18,-0.222222222
powell20200513a,FOMC_Speech,20200513,9,-0.444444444
powell20181128a,FOMC_Speech,20181128,13,0.23076923076923078
yellen20140305a,FOMC_Speech,20140305,2,-0.5
