File,TF-IDF,Proportion Weight,Excess Return 3D,Excess Return 4D
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-19-000059\full-submission.txt,0.8601881687633468,0.2612452003979517,0.14015899999999998,0.14109
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-19-000096\full-submission.txt,0.7960634596256001,0.3180715967730937,-0.10455400000000001,-0.188944
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-19-000121\full-submission.txt,0.4075521052646408,0.8209889699094308,0.019451999999999994,0.092178
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-20-000109\full-submission.txt,0.6390670281234451,0.855459079290281,0.06126100000000001,-0.023
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-20-000160\full-submission.txt,0.0460666648857166,0.4483327380030326,0.296957,0.596498
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-20-000185\full-submission.txt,0.1479442701550992,0.9554742879798844,0.11433800000000002,0.5829380000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-21-000064\full-submission.txt,0.4765543092444635,0.9346268089536568,0.056905999999999984,0.069061
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-21-000068\full-submission.txt,0.2455034374508861,0.796847280491314,-0.129299,-0.059601999999999995
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-21-000073\full-submission.txt,0.514259177172331,0.661551683002732,0.18344700000000003,0.20848200000000003
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-22-000008\full-submission.txt,0.3355395642415962,0.4732143527895556,0.12209100000000002,0.12412100000000002
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-22-000017\full-submission.txt,0.3852523982078951,0.3553919764415326,0.0003359999999999995,0.003051
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004281\10-Q\0000004281-22-000020\full-submission.txt,0.1546607471412808,0.0963104776257353,-0.039775,0.05133100000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-18-010026\full-submission.txt,0.1171027186498681,0.48258574506988,0.049604999999999996,0.03657099999999999
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-18-018485\full-submission.txt,0.3313240657784293,0.4964824111508488,0.047031,0.05967800000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-18-028852\full-submission.txt,0.4836168063799561,0.4308928576647648,-0.10366299999999999,-0.04085799999999999
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-19-014806\full-submission.txt,0.9061486467393528,0.9004075329088679,-0.056306999999999996,-0.040555
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-19-029357\full-submission.txt,0.8654197468284269,0.6066330341782519,0.016514,-0.08331299999999998
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-19-041724\full-submission.txt,0.4531666675118964,0.0063504538370658,0.11214099999999999,0.10865299999999997
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001564590-20-022922\full-submission.txt,0.2271962383555865,0.58828963163914,0.102233,0.119895
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-20-011992\full-submission.txt,0.357881160267854,0.079629295167613,0.146473,0.233943
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-20-015747\full-submission.txt,0.0987623079480352,0.3674103434046176,0.13088400000000003,0.131608
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-21-009296\full-submission.txt,0.8931695607656307,0.8138590107088628,0.144438,0.229033
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-21-015850\full-submission.txt,0.1201675196263695,0.2789629455013797,-0.033322,-0.093334
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-21-021768\full-submission.txt,0.7011496266225733,0.6045805949494114,0.03213600000000001,0.021266
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-22-012659\full-submission.txt,0.2868111696434698,0.0984448989664903,0.12921300000000002,0.20960499999999999
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-22-021084\full-submission.txt,0.3250679025097418,0.7341492406934425,-0.157375,-0.218575
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004447\10-Q\0001628280-22-028196\full-submission.txt,0.9970953138991724,0.2523166637747381,0.089018,0.08886
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-18-000019\full-submission.txt,0.1258996852940012,0.4848986751921987,0.056334,0.06552
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-18-000039\full-submission.txt,0.857744234477219,0.1518229881737376,0.067988,0.053373
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-18-000055\full-submission.txt,0.7771779429252846,0.5417496106484766,-0.02239,0.008938999999999996
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-19-000020\full-submission.txt,0.622224141558287,0.1658463204683212,0.022572000000000002,0.067094
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-19-000040\full-submission.txt,0.7747964892996957,0.5585962276901837,-0.016316999999999998,-0.023740999999999998
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-19-000050\full-submission.txt,0.4526091549262725,0.2381007043268269,0.004316,0.007515000000000001
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-20-000046\full-submission.txt,0.7185681863269123,0.556067985932022,-0.106816,-0.052921
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-20-000062\full-submission.txt,0.2899420607468389,0.9313547945001428,0.037409,0.013650999999999996
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-20-000084\full-submission.txt,0.7227552203714638,0.1576531525149911,0.058656,0.046373
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-21-000033\full-submission.txt,0.8271679744466308,0.5221706873470716,-0.05455299999999998,-0.04537999999999999
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000004904\10-Q\0000004904-21-000052\full-submission.txt,0.3941152773046676,0.7306481575940754,0.027216999999999998,-0.004687999999999998
